sitrep_no,indicator_code,domain,value,extraction_rule,value_source,source_type,priority
36,case_fatality_ratio,deaths,70.3,total_row_cases_deaths_cfr_hz,NA,NA,NA
36,cases_ituri,cases,874,province_row_ituri,NA,NA,NA
36,cases_nordkivu,cases,79,province_row_nordkivu,NA,NA,NA
36,cases_sudkivu,cases,3,province_row_sudkivu,NA,NA,NA
36,deaths_ituri,deaths,688,province_row_ituri,NA,NA,NA
36,deaths_nordkivu,deaths,698,province_row_nordkivu,NA,NA,NA
36,deaths_sudkivu,deaths,1,province_row_sudkivu,NA,NA,NA
36,hz_affected_ituri,geography,22,hz_affected_ituri,NA,NA,NA
36,hz_affected_national,geography,34,total_row_cases_deaths_cfr_hz,NA,NA,NA
36,hz_affected_nordkivu,geography,11,hz_affected_nordkivu,NA,NA,NA
36,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
37,alerts_reported,surveillance,393,tbl_alerts_reported,NA,NA,NA
37,case_fatality_ratio,deaths,25.3,total_row_cases_deaths_cfr_hz,NA,NA,NA
37,cases_ituri,cases,916,province_row_ituri,NA,NA,NA
37,cases_nordkivu,cases,84,province_row_nordkivu,NA,NA,NA
37,cases_sudkivu,cases,58,province_row_sudkivu,NA,NA,NA
37,deaths_ituri,deaths,920,province_row_ituri,NA,NA,NA
